Package;Component
resources/DB configs;core-data-access-layer
resources/Spring configs;core-lifecycle
resources/Teraform scripts;core-integrations
resources/internationalization;core-i18n
resources/Struts configs;core-web-and-ui, core-lifecycle
resources/other configs;core-lifecycle
com.jivesoftware.community.audit.aop;core-audit
com.jive.api.aaa;core-authentication, core-authorization, core-audit
com.jive.api.aaa.impl;core-authentication, core-authorization, core-audit
com.jive.api.access;core-api
com.jive.api.access.dao;core-api
com.jive.api.access.dao.impl;core-api
com.jive.api.access.impl;core-api
com.jivesoftware.api;core-api
com.jivesoftware.api.base.entities.tiles;core-api
com.jive.api.access.upgrade;core-authorization
com.jive.api.entitlement;core-authorization
com.jive.api.entitlement.dao;core-authorization
com.jive.api.entitlement.dao.impl;core-authorization
com.jive.api.entitlement.event;core-authorization
com.jive.api.entitlement.filter;core-authorization
com.jive.api.entitlement.impl;core-authorization
com.jive.api.entitlement.type;core-authorization
com.jivesoftware.api.audit;core-audit
com.jivesoftware.api.audit.interceptor;core-audit
com.jivesoftware.api.binary.daos;core-content
com.jivesoftware.api.binary.daos.impl;core-content
com.jivesoftware.api.binary.events;core-content
com.jivesoftware.api.binary.filters;core-content
com.jivesoftware.api.binary.listeners;core-content
com.jivesoftware.api.binary.managers;core-content
com.jivesoftware.api.binary.managers.impl;core-content
com.jivesoftware.api.binary.models;core-content
com.jivesoftware.api.binary.models.impl;core-content
com.jivesoftware.api.binary.types;core-content
com.jivesoftware.api.binary.upgrade;core-content
com.jivesoftware.api.binary.v1.entities;core-content
com.jivesoftware.api.binary.v1.services;core-content
com.jivesoftware.api.client;core-web-and-ui
com.jivesoftware.api.client.http;core-connectivity
com.jivesoftware.api.client.http.request;core-connectivity
com.jivesoftware.api.common.filters;core-web-and-ui
com.jivesoftware.api.common.providers.tiles;core-extension-points
com.jivesoftware.api.connects.dao;core-connectivity
com.jivesoftware.api.connects.dao.impl;core-connectivity
com.jivesoftware.api.connects.event;core-connectivity
com.jivesoftware.api.connects.filter;core-connectivity
com.jivesoftware.api.connects.jsonrpc;core-connectivity
com.jivesoftware.api.connects.manager;core-connectivity
com.jivesoftware.api.connects.manager.impl;core-connectivity
com.jivesoftware.api.connects.model;core-connectivity
com.jivesoftware.api.connects.model.impl;core-connectivity
com.jivesoftware.api.connects.service;core-connectivity
