Package;FAs combined
resources/DB configs;JVCLD-44950
resources/Spring configs;JVCLD-44950
resources/Teraform scripts;JVCLD-44950
resources/internationalization;JVCLD-36155
resources/Struts configs;JVCLD-44950
resources/other configs;JVCLD-44950
com.jivesoftware.community.audit.aop;JVCLD-39630
com.jive.api.aaa;JVCLD-36172,JVCLD-40136
com.jive.api.aaa.impl;JVCLD-36172,JVCLD-40136
com.jive.api.access;JVCLD-36172
com.jive.api.access.dao;JVCLD-36172
com.jive.api.access.dao.impl;JVCLD-36172
com.jive.api.access.impl;JVCLD-36172
com.jivesoftware.api;JVCLD-36172
com.jivesoftware.api.base.entities.tiles;JVCLD-36172
com.jive.api.access.upgrade;JVCLD-36172
com.jive.api.entitlement;JVCLD-36172,JVCLD-36173
com.jive.api.entitlement.dao;JVCLD-36172,JVCLD-36173
com.jive.api.entitlement.dao.impl;JVCLD-36172,JVCLD-36173
com.jive.api.entitlement.event;JVCLD-36172,JVCLD-36173
com.jive.api.entitlement.filter;JVCLD-36172,JVCLD-36173
com.jive.api.entitlement.impl;JVCLD-36172,JVCLD-36173
com.jive.api.entitlement.type;JVCLD-36172,JVCLD-36173
com.jivesoftware.api.audit;JVCLD-36172,JVCLD-39630
com.jivesoftware.api.audit.interceptor;JVCLD-36172,JVCLD-39630
com.jivesoftware.api.binary.daos;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.daos.impl;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.events;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.filters;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.listeners;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.managers;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.managers.impl;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.models;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.models.impl;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.types;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.upgrade;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.v1.entities;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.binary.v1.services;JVCLD-36172,JVCLD-36331
com.jivesoftware.api.client;JVCLD-36172
com.jivesoftware.api.client.http;JVCLD-36172
com.jivesoftware.api.client.http.request;JVCLD-36172
com.jivesoftware.api.common.filters;JVCLD-36172
com.jivesoftware.api.common.providers.tiles;JVCLD-36172
com.jivesoftware.api.connects.dao;JVCLD-36172
com.jivesoftware.api.connects.dao.impl;JVCLD-36172
com.jivesoftware.api.connects.event;JVCLD-36172
com.jivesoftware.api.connects.filter;JVCLD-36172
com.jivesoftware.api.connects.jsonrpc;JVCLD-36172
com.jivesoftware.api.connects.manager;JVCLD-36172
com.jivesoftware.api.connects.manager.impl;JVCLD-36172
com.jivesoftware.api.connects.model;JVCLD-36172
com.jivesoftware.api.connects.model.impl;JVCLD-36172
com.jivesoftware.api.connects.service;JVCLD-36172
com.jivesoftware.api.connects.service.filter;JVCLD-36172
com.jivesoftware.api.connects.service.v1;JVCLD-36172
com.jivesoftware.api.connects.service.v1.decorator;JVCLD-36172
com.jivesoftware.api.connects.service.v1.impl;JVCLD-36172
com.jivesoftware.api.connects.task;JVCLD-36172
com.jivesoftware.api.connects.type;JVCLD-36172
com.jivesoftware.api.connects.util;JVCLD-36172
com.jivesoftware.api.core;JVCLD-36172
com.jivesoftware.api.core.aaa;JVCLD-36172
com.jivesoftware.api.core.app;JVCLD-36172
com.jivesoftware.api.core.base.entities;JVCLD-36172
com.jivesoftware.api.core.base.enums;JVCLD-36172
com.jivesoftware.api.core.base.processor;JVCLD-36172
com.jivesoftware.api.core.converters;JVCLD-36172
com.jivesoftware.api.core.converters.links;JVCLD-36172
com.jivesoftware.api.core.converters.uri;JVCLD-36172
com.jivesoftware.api.core.cxf;JVCLD-36172
com.jivesoftware.api.core.entities;JVCLD-36172
