Package;merge components
resources/DB configs;core-data-access-layer-config
resources/Spring configs;core-lifecycle-common
resources/Teraform scripts;core-integrations-config
resources/internationalization;core-i18n-translation
resources/Struts configs;core-web-and-ui-struts,core-lifecycle-config
resources/other configs;core-lifecycle-others
com.jivesoftware.community.audit.aop;core-audit-aop
com.jive.api.aaa;core-authentication-common
com.jive.api.aaa.impl;core-authentication-common
com.jive.api.access;core-api-others
com.jive.api.access.dao;core-api-others
com.jive.api.access.dao.impl;core-api-others
com.jive.api.access.impl;core-api-others
com.jivesoftware.api;core-api-others
com.jivesoftware.api.base.entities.tiles;core-api-others
com.jive.api.access.upgrade;core-authorization-common
com.jive.api.entitlement;core-authorization-entitlements
com.jive.api.entitlement.dao;core-authorization-entitlements,core-data-access-layer-dao
com.jive.api.entitlement.dao.impl;core-authorization-entitlements,core-data-access-layer-dao
com.jive.api.entitlement.event;core-authorization-entitlements
com.jive.api.entitlement.filter;core-authorization-entitlements
com.jive.api.entitlement.impl;core-authorization-entitlements
com.jive.api.entitlement.type;core-authorization-entitlements
com.jivesoftware.api.audit;core-audit-audit
com.jivesoftware.api.audit.interceptor;core-audit-audit
com.jivesoftware.api.binary.daos;core-content-binary
com.jivesoftware.api.binary.daos.impl;core-content-binary
com.jivesoftware.api.binary.events;core-content-binary
com.jivesoftware.api.binary.filters;core-content-binary
com.jivesoftware.api.binary.listeners;core-content-binary
com.jivesoftware.api.binary.managers;core-content-binary
com.jivesoftware.api.binary.managers.impl;core-content-binary
com.jivesoftware.api.binary.models;core-content-binary
com.jivesoftware.api.binary.models.impl;core-content-binary
com.jivesoftware.api.binary.types;core-content-binary
com.jivesoftware.api.binary.upgrade;core-content-binary
com.jivesoftware.api.binary.v1.entities;core-content-binary,core-api-v1
com.jivesoftware.api.binary.v1.services;core-content-binary,core-api-v1
com.jivesoftware.api.client;core-web-and-ui-common,core-connectivity-common
com.jivesoftware.api.client.http;core-web-and-ui-common,core-connectivity-common
com.jivesoftware.api.client.http.request;core-web-and-ui-common,core-connectivity-common
com.jivesoftware.api.common.filters;core-web-and-ui-filters
com.jivesoftware.api.common.providers.tiles;core-integrations-others
com.jivesoftware.api.connects.dao;core-data-access-layer-dao,core-connectivity-others
com.jivesoftware.api.connects.dao.impl;core-data-access-layer-dao,core-connectivity-others
com.jivesoftware.api.connects.event;core-connectivity-others
com.jivesoftware.api.connects.filter;core-connectivity-others
com.jivesoftware.api.connects.jsonrpc;core-connectivity-others
com.jivesoftware.api.connects.manager;core-connectivity-others
com.jivesoftware.api.connects.manager.impl;core-connectivity-others
com.jivesoftware.api.connects.model;core-connectivity-others
com.jivesoftware.api.connects.model.impl;core-connectivity-others
com.jivesoftware.api.connects.service;core-connectivity-others
com.jivesoftware.api.connects.service.filter;core-connectivity-others
com.jivesoftware.api.connects.service.v1;core-connectivity-others,core-api-v1
com.jivesoftware.api.connects.service.v1.decorator;core-connectivity-others,core-api-v1
com.jivesoftware.api.connects.service.v1.impl;core-connectivity-others
com.jivesoftware.api.connects.task;core-connectivity-others
com.jivesoftware.api.connects.type;core-connectivity-others
com.jivesoftware.api.connects.util;core-connectivity-others
com.jivesoftware.api.core;core-api-others
com.jivesoftware.api.core.aaa;core-api-others
com.jivesoftware.api.core.app;core-api-others
com.jivesoftware.api.core.base.entities;core-api-others
com.jivesoftware.api.core.base.enums;core-api-others
com.jivesoftware.api.core.base.processor;core-api-others
com.jivesoftware.api.core.converters;core-api-others
com.jivesoftware.api.core.converters.links;core-api-others
com.jivesoftware.api.core.converters.uri;core-api-others
